,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
03/01/2024,35449.62792,44946.91,35885.85,45500,32139.525,40750,33792.0329,42845.23,81194.55173,81194.55173
02/01/2024,34844.41109,44179.55,36185.26418,45879.63,34819.79576,44148.34,35449.62792,44946.91,65146.40661,65146.40661
01/01/2024,33349.05955,42283.58,34847.99967,44184.1,33267.9733,42180.77,34844.41109,44179.55,27174.29903,27174.29903
31/12/2023,33236.04672,42140.29,33834.4413,42899,33098.45801,41965.84,33349.05955,42283.58,23585.91603,23585.91603
30/12/2023,33178.19558,42066.94,33608.33678,42612.32,32747.06061,41520.3,33236.03884,42140.28,22906.57818,22906.57818
29/12/2023,33570.03751,42563.76,34001.6457,43111,32573.31,41300,33178.20347,42066.95,42597.18912,42597.18912
28/12/2023,34252.34188,43428.86,34535.25646,43787.57,33316.09977,42241.79,33570.03751,42563.76,35150.52485,35150.52485
27/12/2023,33526.79309,42508.93,34448.0499,43677,33203.2368,42098.69,34252.334,43428.85,36191.21136,36191.21136
26/12/2023,34368.48584,43576.12,34381.54672,43592.68,32839.57512,41637.6,33526.79309,42508.93,41010.04282,41010.04282
25/12/2023,33907.39605,42991.5,34546.88978,43802.32,33693.60314,42720.43,34368.49373,43576.13,27021.23992,27021.23992
24/12/2023,34467.88571,43702.15,34660.2102,43946,33519.75,42500,33907.39605,42991.5,25144.33496,25144.33496
23/12/2023,34678.38185,43969.04,34693.87192,43988.68,34143.69057,43291.1,34467.89359,43702.16,16557.1293,16557.1293
22/12/2023,34593.79377,43861.79,35016.90766,44398.26,34239.4703,43412.54,34678.38185,43969.04,32783.19638,32783.19638
21/12/2023,34441.6772,43668.92,34893.94145,44242.35,34140.23606,43286.72,34593.80166,43861.8,34624.29384,34624.29384
20/12/2023,33343.07331,42275.99,34926.0021,44283,33287.8722,42206,34441.68509,43668.93,48710.2947,48710.2947
19/12/2023,33644.20686,42657.8,34306.0839,43497,32976.41457,41811.1,33343.07331,42275.99,40927.86444,40927.86444
18/12/2023,32632.17857,41374.64,33723.08475,42757.81,31976.20889,40542.93,33644.20686,42657.8,46734.0925,46734.0925
17/12/2023,33344.67437,42278.02,33459.86401,42424.07,32535.4524,41252,32632.18646,41374.65,27722.11452,27722.11452
16/12/2023,33078.30672,41940.29,33696.75794,42724.43,32813.8635,41605,33344.68226,42278.03,24118.85747,24118.85747
15/12/2023,33931.65646,43022.26,33977.83485,43080.81,32861.9742,41666,33078.31461,41940.3,33421.7932,33421.7932
14/12/2023,33810.80396,42869.03,34245.354,43420,32652.18,41400,33931.65646,43022.26,42047.05709,42047.05709
13/12/2023,32725.04011,41492.38,34288.89024,43475.2,31985.7285,40555,33810.80396,42869.03,45865.99773,45865.99773
12/12/2023,32536.56447,41253.41,33207.51944,42104.12,32084.316,40680,32725.04799,41492.39,42722.69773,42722.69773
11/12/2023,34536.77865,43789.5,34548.60915,43804.5,31723.0914,40222,32536.55658,41253.4,76663.89804,76663.89804
10/12/2023,34476.90843,43713.59,34741.4463,44049,34358.1381,43563,34536.78654,43789.51,18956.61758,18956.61758
09/12/2023,34837.6677,44171,34985.17037,44358.02,34375.10304,43584.51,34476.91632,43713.6,24925.97008,24925.97008
08/12/2023,34129.53341,43273.15,35254.89,44700,33978.06357,43081.1,34837.65981,44170.99,42900.37556,42900.37556
07/12/2023,34515.6336,43762.69,34740.12917,44047.33,33773.00157,42821.1,34129.52552,43273.14,47103.26845,47103.26845
